store_name,birthdate,purchases_qty
G Coffee @ Kampung Changkat,1988-03-16
G Coffee @ Kampung Changkat,1979-01-25
G Coffee @ Kampung Changkat,1973-12-07
G Coffee @ Kampung Changkat,1993-01-20
G Coffee @ Kampung Changkat,2008-09-02
G Coffee @ Kampung Changkat,2006-09-17
G Coffee @ Kampung Changkat,1985-07-12
G Coffee @ Kampung Changkat,1964-10-05
G Coffee @ Kampung Changkat,1979-05-25
G Coffee @ Kampung Changkat,2002-06-12
G Coffee @ Kampung Changkat,1966-02-04
G Coffee @ Kampung Changkat,2004-10-06
G Coffee @ Kampung Changkat,2001-09-18
G Coffee @ Kampung Changkat,2000-01-07
G Coffee @ Kampung Changkat,2006-03-13
G Coffee @ Kampung Changkat,1996-11-28
G Coffee @ Kampung Changkat,2002-02-12
G Coffee @ Kampung Changkat,2005-04-13
G Coffee @ Kampung Changkat,1975-03-22
G Coffee @ Kampung Changkat,1979-06-24
G Coffee @ Kampung Changkat,1977-10-06
G Coffee @ Kampung Changkat,1978-06-20
G Coffee @ Kampung Changkat,1967-09-05
G Coffee @ Kampung Changkat,2001-02-14
G Coffee @ Kampung Changkat,1984-06-12
G Coffee @ Kampung Changkat,2002-04-08
G Coffee @ Kampung Changkat,1976-10-04
G Coffee @ Kampung Changkat,1969-12-23
G Coffee @ Kampung Changkat,1976-12-18
G Coffee @ Kampung Changkat,1987-07-22
G Coffee @ Kampung Changkat,2003-09-13
G Coffee @ Kampung Changkat,1965-06-26
G Coffee @ Kampung Changkat,2006-03-05
G Coffee @ Kampung Changkat,2001-12-31
G Coffee @ Kampung Changkat,1993-01-27
G Coffee @ Seksyen 21,1972-03-05
G Coffee @ Seksyen 21,1988-01-30
G Coffee @ Seksyen 21,1964-09-04
G Coffee @ Seksyen 21,1966-02-08
G Coffee @ Seksyen 21,1977-12-01
G Coffee @ Seksyen 21,1969-03-26
G Coffee @ Seksyen 21,1965-11-16
G Coffee @ Seksyen 21,1973-12-09
G Coffee @ Seksyen 21,2001-04-10
G Coffee @ Seksyen 21,1998-03-05
G Coffee @ Seksyen 21,1985-04-11
G Coffee @ Seksyen 21,2002-11-09
G Coffee @ Seksyen 21,2006-01-15
G Coffee @ Seksyen 21,2002-10-14
G Coffee @ Seksyen 21,2006-03-05
G Coffee @ Seksyen 21,1984-07-25
G Coffee @ Seksyen 21,1977-08-08
G Coffee @ Seksyen 21,1973-11-05
G Coffee @ Seksyen 21,1969-12-26
G Coffee @ Seksyen 21,1969-09-06
G Coffee @ Seksyen 21,2001-03-23
G Coffee @ Seksyen 21,2009-03-14
G Coffee @ Seksyen 21,1976-08-14
G Coffee @ Seksyen 21,1985-04-04
G Coffee @ Seksyen 21,1972-06-11
G Coffee @ Seksyen 21,2002-11-18
