2025-02,Matcha Latte,tpv,2804010.00
2025-03,Matcha Latte,tpv,3103800.00
2025-04,Matcha Latte,tpv,2995990.00
2024-01,Matcha Latte,tpv,3098440.00
2024-02,Matcha Latte,tpv,2902660.00
2024-03,Matcha Latte,tpv,3094720.00
2024-04,Matcha Latte,tpv,3002390.00
2025-01,Matcha Latte,tpv,3104830.00
2024-02,Espresso,quantity,291989
2024-03,Latte,quantity,310920
2024-04,Americano,quantity,300869
2025-01,Flat White,quantity,312232
2025-02,Hot Chocolate,quantity,280937
2025-03,Americano,quantity,310772
2025-04,Mocha,quantity,301665
2024-01,Latte,quantity,311361
